domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
external_lung,seed43,source_disjoint,10,late,15019,3817,2398,0.5031331071021647,0.003133107102164745,0.033215772247786164,0.027662387537209364
external_lung,seed43,source_disjoint,11,late,15019,3817,2398,0.5086028627976674,0.008602862797667421,0.025426774435077498,0.021346059889576465
external_lung,seed43,target_disjoint,0,early,14999,3767,1643,0.5305537380588814,0.030553738058881397,0.09206800017425192,0.06789366995918915
external_lung,seed43,target_disjoint,1,early,14999,3767,1643,0.5262576391583227,0.026257639158322688,0.08457089137128118,0.06216088334580084
external_lung,seed43,target_disjoint,2,early,14999,3767,1643,0.5301797449851272,0.03017974498512721,0.08084396286773951,0.06118455645367253
external_lung,seed43,target_disjoint,3,early,14999,3767,1643,0.5353795344296738,0.03537953442967379,0.07829085677296617,0.05939980673527047
external_lung,seed43,target_disjoint,4,mid,14999,3767,1643,0.5261594139804585,0.026159413980458512,0.07312364406944145,0.055764419278379496
external_lung,seed43,target_disjoint,5,mid,14999,3767,1643,0.5148334553821348,0.014833455382134764,0.07084256469433176,0.0539965209428714
external_lung,seed43,target_disjoint,6,mid,14999,3767,1643,0.5262313575419164,0.02623135754191641,0.06717104987096895,0.050924125187502195
external_lung,seed43,target_disjoint,7,mid,14999,3767,1643,0.5155369376774009,0.015536937677400942,0.06501776719870474,0.04916497447902225
external_lung,seed43,target_disjoint,8,late,14999,3767,1643,0.5197977501990975,0.019797750199097464,0.06137810735296747,0.045999156680885535
external_lung,seed43,target_disjoint,9,late,14999,3767,1643,0.5314038963536243,0.03140389635362428,0.05316436582566882,0.041273178827035975
external_lung,seed43,target_disjoint,10,late,14999,3767,1643,0.527807450951697,0.02780745095169701,0.03939306448569666,0.03240637122411026
external_lung,seed43,target_disjoint,11,late,14999,3767,1643,0.5196243435268191,0.019624343526819077,0.03014023912262568,0.024861518078451085
external_lung,seed44,source_disjoint,0,early,15019,3807,2396,0.5541866495249143,0.054186649524914254,0.08542020111389169,0.0627211407202553
external_lung,seed44,source_disjoint,1,early,15019,3807,2396,0.535942636135755,0.03594263613575499,0.08035069780770353,0.058712923590197724
external_lung,seed44,source_disjoint,2,early,15019,3807,2396,0.5380480344851726,0.03804803448517258,0.07624199674505386,0.057319368161595975
external_lung,seed44,source_disjoint,3,early,15019,3807,2396,0.5435076573272605,0.043507657327260474,0.07341428360222106,0.05526433380495161
external_lung,seed44,source_disjoint,4,mid,15019,3807,2396,0.5526327447954604,0.05263274479546043,0.06760432444836799,0.0512136863570157
external_lung,seed44,source_disjoint,5,mid,15019,3807,2396,0.5344335959042719,0.03443359590427186,0.06631438730978413,0.05051199870304069
external_lung,seed44,source_disjoint,6,mid,15019,3807,2396,0.5460698535782097,0.046069853578209696,0.0631534817494602,0.04805799238655903
external_lung,seed44,source_disjoint,7,mid,15019,3807,2396,0.5325460773622317,0.032546077362231696,0.06030293801116237,0.045453932980205974
external_lung,seed44,source_disjoint,8,late,15019,3807,2396,0.53385452760331,0.03385452760330998,0.05601428822679014,0.04302399626468561
external_lung,seed44,source_disjoint,9,late,15019,3807,2396,0.5136034194853519,0.01360341948535193,0.04842043593199404,0.03747938639061394
external_lung,seed44,source_disjoint,10,late,15019,3807,2396,0.512351290003084,0.012351290003083992,0.035428661165855226,0.02895152735915382
external_lung,seed44,source_disjoint,11,late,15019,3807,2396,0.5140913765421322,0.014091376542132217,0.027006940486019027,0.021988567486674188
